"id";"name";"cond";"vat"
"5835501";"PS3 - Call of Duty 4: Modern Warfare USK18";"0";"0"
"9033565";"PSP - Killzone Liberation (NEU & OVP)";"0";"0"
"5833193";"Playstation 1 - Psychic Detective (mit OVP) (gebraucht)";"1";"0"
"5825066";"GameCube - 16M Memory Card (NEU & OVP)";"0";"0"
"9072238";"SNES - Thunder Spirits (Modul) (US-Import) (gebraucht)";"1";"0"
"5803585";"NES - Lemmings (mit OVP) (PAL-B) (gebraucht)";"1";"2"
"2080442";"Blu-Ray - Le Havre Min: 94DD5.1WS (NEU & OVP) (Vorbestellung: Erscheint am 30.03.12)";"0";"0"
"9058846";"Playstation 2 - Tiger Woods PGA Tour 2003 (mit OVP) (gebraucht)";"1";"2"
"1003143";"Dreamcast - Grandia II (2) (mit OVP) (gebraucht) NEUWERTIG";"1";"2"
"1000676";"Saturn - Pinball Graffiti (mit OVP) (gebraucht)";"1";"2"
"9022193";"PC - Battlefield 2";"0";"0"
"2081151";"DVD - Unsere kleine Farm StaFinal Fantasyel #5 6DVD Min: 1125MonoVB Universal (NEU & OVP) (Vorbestellung: Erscheint am 0";"0";"0"
"9051002";"N64 - Knife Edge (boxed) (used)";"1";"2"
"9052017";"PC - Brothers in Arms: Road to Hill 30 (mit OVP) (gebraucht) USK18";"1";"2"
"5000189";"PC - Die VÃ¶lker (gebraucht)";"1";"2"
"9040373";"Nintendo DS - DS Pack  Pro  blaui";"0";"0"
"1002560";"GameBoy Color - One piece maboroshi no grande line (mit OVP) (JAP-Import) (gebraucht)";"1";"2"
"5822755";"PSP - Sony-Tasche PSP50 [Sony]";"0";"0"
"5819819";"PSP - Iron Man (NEU & OVP)";"0";"0"
"9042904";"Nintendo DS - CSI UngelÃ¶ste FÃ¤lle";"0";"0"
"5815446";"GameBoy Advance - Ersatzlinse / Screen  (NEU & OVP)";"0";"0"
"4001150";"PC - Anno 1701 (gebraucht)";"1";"2"
"9008214";"GameBoy Advance/DS - Agent Hugo - Roborumble (Modul) (gebraucht)";"1";"2"
"5799056";"Playstation 1 - Alien - Die Wiedergeburt / Resurrection (mit OVP) (gebraucht)";"1";"2"
"9053366";"Playstation 2 - F1 06 (mit OVP) (gebraucht)";"1";"2"
"9052843";"GameCube - Konsole lila + Wave Race + 2 Controller (gebraucht)";"1";"2"
"9024998";"GameBoy - Battletoads in Ragnarok's World (Modul) (gebraucht)";"1";"2"
"4000204";"Mega Drive - NHL 97 (mit OVP) (gebraucht)";"1";"2"
"9020671";"Apple / Mac - Civilization IV: Beyond the Sword (Add On)";"0";"0"
"9058169";"Playstation 2 - Monster Jam: Urban Assault (mit OVP) (gebraucht)";"1";"2"
"4200218";"Atari 2600 - Original Trak-Ball Controller (gebraucht)";"1";"2"
"9004972";"SNES - Ranma 1/2: Akaneko Dan Teki Hihou (Modul) (gebraucht)";"1";"2"
"9051087";"SNES - Super Soccer (mit OVP) (gebraucht) ";"1";"2"
"5829792";"PSP - NERF Armor |PSP-2000|";"0";"0"
"5815275";"NES - NES/Mega Drive - Ninja Cleaner-Reinigungsset fÃ¼r Konsole und Spiele (NEU & OVP)";"0";"0"
"5829408";"Nintendo DS - Licensed Case Protector: *BLUE* (DSLiTE) (NEU & OVP)";"0";"0"
"2085200";NULL;"0";"0"
"9060134";"Xbox - Logitech Cordless Headset / KopfhÃ¶rer [Logitech] (mit OVP) (gebraucht) DEFEKT";"1";"2"
"9062667";"Amiga - World Class Rugby (NEU & OVP)";"0";"0"
"5813770";"PC - Atlantis 2";"0";"0"
"9032306";"PSP - Ghost Recon Advanced Warfighter 2 (NEU & OVP)";"0";"0"
"2086763";NULL;"0";"0"
"9033561";"PSP - Nba 2006 (NEU & OVP)";"0";"0"
"5802690";"SNES - NBA All-Star Challenge (Modul) (gebraucht)";"1";"2"
"9046893";"Playstation 1 - Resident Evil - Survivor (mit OVP) (gebraucht)";"1";"2"
"5005034";;"1";"2"
"9049645";"Playstation 1 - Animal Snap - Rescue Them 2 By 2 (mit OVP) (gebraucht)";"1";"2"
"5826385";"PSP - Activision Hits Remixed (NEU & OVP)";"0";"0"
"9046527";"Playstation 1 - Army Men 3D (mit OVP) (gebraucht)";"1";"2"
